"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","SPOTIFY_PLAYLIST_LINK","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","id_genre","id_genre_perc","genre_correct","id_decade","id_decade_perc","decade_correct","id_location","id_location_perc","freq_context_words"
"1","60s_HIGH_01","60s","High","As We Go Along","The Monkees",NA,"1968","no",NA,00:00:00,00:00:30,"https://open.spotify.com/playlist/3UNXh2phllvtbOJyPCeu5A?si=420ef53f10914c09",1,3.4,0.547722557505166,1.2,0.447213595499958,2.2,0.447213595499958,3.6,0.547722557505166,3,0.707106781186548,2.2,0.447213595499958,3,"Folk",28.5714285714286,0,"2000s",60,0,"USA_Canada",60,""
"2","60s_HIGH_02","60s","High","Crimson and Clover","Tommy James and the Shondells",NA,"1968","yes","""-ah""",00:00:50,00:01:20,NA,2,3.8,0.836660026534076,1.6,0.894427190999916,3,0.707106781186548,3.8,0.836660026534076,3.8,1.09544511501033,3.6,0.894427190999916,3,"Pop",50,0,"1960s",60,60,"Europe, USA_Canada",40,""
"3","60s_HIGH_03","60s","High","I'm A Man","The Spencer Davis Group",NA,"1967","no",NA,00:00:00,00:00:30,NA,3,3.33333333333333,1.52752523165195,1.66666666666667,0.577350269189626,1.33333333333333,0.577350269189626,3.66666666666667,1.15470053837925,3.66666666666667,1.15470053837925,3.33333333333333,0.577350269189626,3,"Pop",40,0,"1960s, 1970s, 1980s",33.3333333333333,33.3333333333333,"USA_Canada",66.6666666666667,""
"4","60s_HIGH_04","60s","High","It's Only Make Believe","The Hollies",NA,"1964","yes","""-eh""",00:01:36,00:02:06,NA,4,3.33333333333333,0.577350269189626,1,0,2,1,2,1,3.33333333333333,0.577350269189626,2,0,3,"Country",66.6666666666667,0,"1960s",100,100,"USA_Canada",100,""
"5","60s_HIGH_05","60s","High","Someone I Know","Margo Guryan",NA,"1968","no",NA,00:01:10,00:01:40,NA,5,3,0.816496580927726,1.5,0.577350269189626,1.25,0.5,2.25,1.25830573921179,3.25,0.957427107756338,3,0.816496580927726,3,"Pop",40,0,"1960s, 1970s, 1980s, 1990s",25,25,"Europe",50,""
"6","60s_HIGH_06","60s","High","Summer in the City","The Lovin' Spoonful",NA,"1966","no",NA,00:01:59,00:02:29,NA,6,3.66666666666667,0.577350269189626,4,0,4,0,3.66666666666667,1.52752523165195,3.66666666666667,0.577350269189626,4,0,3,"Film, Pop, Rock, Funk",25,0,"1970s",66.6666666666667,0,"USA_Canada",66.6666666666667,""
"7","60s_HIGH_07","60s","High","Time of the Season","The Zombies",NA,"1968","no",NA,00:01:21,00:01:51,NA,7,2.25,0.957427107756338,1.75,0.957427107756338,1,0,3.75,1.5,4,1.15470053837925,4,0.816496580927726,3,"Film, Folk, Jazz, Dance, Electronic",20,0,"1970s",50,0,"Europe",50,""
"8","60s_LOW_09","60s","Low","Rosemary","Peppermint Rainbow",NA,"1969","no",NA,00:00:11,00:00:41,"https://open.spotify.com/playlist/2LrwGczzX6k7qwGlbMECqr?si=ee0c70bc8a434584",9,2.4,1.14017542509914,1,0,2.4,1.14017542509914,2,0.707106781186548,2,0.707106781186548,2.4,0.894427190999916,2,"Film, VG",33.3333333333333,0,"2000s",40,0,"USA_Canada",60,""
"9","60s_LOW_10","60s","Low","Rumpus","Floyd Cramer",NA,"1960","no",NA,00:00:00,00:00:30,NA,10,3,0.816496580927726,1.5,1,3.25,0.957427107756338,2,1.15470053837925,3.75,0.5,4,0,2,"Pop",50,0,"1970s",50,25,"Europe",75,""
"10","60s_LOW_11","60s","Low","The Little Man From Mars","Perrey and Kingsley",NA,"1966","no",NA,00:00:00,00:00:30,NA,11,1.66666666666667,0.577350269189626,1,0,2.33333333333333,0.577350269189626,1.33333333333333,0.577350269189626,2,1.73205080756888,2.66666666666667,0.577350269189626,2,"Electronic, VG",50,0,"2000s",66.6666666666667,0,"USA_Canada",66.6666666666667,""
"11","60s_LOW_12","60s","Low","This Time the Dream's on Me","Anthony Newley",NA,"1963","no",NA,00:01:48,00:02:18,NA,12,3.75,0.5,1.25,0.5,2.75,1.25830573921179,3.5,1,3.75,0.5,3,0,2,"Film",75,0,"1960s, 1980s, 1990s, pre1960",25,25,"Europe",50,""
"12","60s_LOW_13","60s","Low","Walk, Don't Run","The Ventures",NA,"1960","no",NA,00:00:00,00:00:30,NA,13,4.4,0.894427190999916,3.8,1.78885438199983,2.2,1.30384048104053,4,1.4142135623731,3.4,1.14017542509914,3.8,0.836660026534076,2,"Pop",80,0,"1960s",60,60,"Europe",60,""
"13","60s_LOW_14","60s","Low","Wheels (Cha Cha)","Joe Loss & His Orchestra",NA,"1968","no",NA,00:00:00,00:00:30,NA,14,3.66666666666667,1.52752523165195,4,1,2.33333333333333,1.52752523165195,4.33333333333333,0.577350269189626,4.66666666666667,0.577350269189626,4.33333333333333,0.577350269189626,2,"Jazz",50,0,"1960s",66.6666666666667,66.6666666666667,"Latin_SouthAm",66.6666666666667,""
"14","60s_MED_15","60s","Medium","Amore sto dicendo a te - Toy","The Casuals",NA,"1968","yes","""ooo""",00:02:03,00:02:33,"https://open.spotify.com/playlist/0iGHUoTHve5CiXfaIbsENm?si=2aff5206abf6481c",15,3.2,0.836660026534076,1.2,0.447213595499958,4,0.707106781186548,3.4,1.51657508881031,4,1.22474487139159,3.8,0.447213595499958,1,"Pop",60,0,"1990s",40,20,"Europe",80,""
"15","60s_MED_16","60s","Medium","Blue Eyes Crying In the Rain","John D. Loudermilk",NA,"1968","no",NA,00:01:19,00:01:49,NA,16,3.66666666666667,0.577350269189626,2,1.73205080756888,2,0,3.66666666666667,1.52752523165195,4,1,2.66666666666667,1.52752523165195,1,"Country",60,0,"1960s",66.6666666666667,66.6666666666667,"USA_Canada",100,""
"16","60s_MED_17","60s","Medium","Cinnamon Girl","The Gentrys",NA,"1969","no",NA,00:01:44,00:02:14,NA,17,3,1.4142135623731,1.25,0.5,3,0.816496580927726,2.75,0.5,3.25,0.5,3.25,0.5,1,"Rock",40,0,"1970s",50,25,"USA_Canada",50,""
"17","60s_MED_18","60s","Medium","Close Your Eyes","Vic Dana",NA,"1966","no",NA,00:01:16,00:01:46,NA,18,3.6,1.14017542509914,1,0,2.4,1.14017542509914,3.4,1.51657508881031,3,1.22474487139159,2.6,1.14017542509914,1,"Jazz",66.6666666666667,0,"1960s",60,60,"USA_Canada",60,""
"18","60s_MED_19","60s","Medium","I'm Waiting For The Man","The Velvet Underground",NA,"1967","no",NA,00:01:55,00:02:25,NA,19,3.4,0.547722557505166,1.8,1.30384048104053,1.8,0.447213595499958,3.8,1.30384048104053,3.8,1.09544511501033,3.2,0.836660026534076,1,"Pop",33.3333333333333,0,"1960s, 1970s",40,40,"Europe",80,""
"19","60s_MED_20","60s","Medium","Kyllikki","Georg Ots",NA,"1968","no",NA,00:01:50,00:02:20,NA,20,3.6,0.547722557505166,1.6,0.547722557505166,2.4,0.547722557505166,3.4,0.894427190999916,3.4,0.547722557505166,2.8,0.447213595499958,1,"Folk",50,0,"pre1960",60,20,"Europe",80,""
"20","60s_MED_21","60s","Medium","Through with You","The Lemon Pipers",NA,"1968","no",NA,00:01:14,00:01:44,NA,21,3.2,1.48323969741913,1.4,0.894427190999916,3,0.707106781186548,3.8,0.836660026534076,3.4,0.547722557505166,4,0.707106781186548,1,"Rock",42.8571428571429,0,"1980s",60,0,"Europe, USA_Canada",40,""
