"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","rated_genre","rated_genre_perc","genre_match","rated_decade","rated_decade_perc","decade_match","rated_location","rated_location_perc","thought_type","thought_type_perc","freq_context_words"
"1","60s_HIGH_01","60s","High","As We Go Along","The Monkees",NA,"1968","no",NA,00:00:00,00:00:30,1,3,0.816496580927726,2,0.816496580927726,1.75,0.957427107756338,4,0.816496580927726,3.5,1.73205080756888,2.5,0.577350269189626,3,"Country, Film",28.5714285714286,NA,"1990s",50,0,"Australia, Europe, Latin_SouthAm, USA_Canada",25,"music",75,""
"2","60s_HIGH_02","60s","High","Crimson and Clover","Tommy James and the Shondells",NA,"1968","yes","""-ah""",00:00:50,00:01:20,2,4,1.4142135623731,3.25,1.5,2.5,1.29099444873581,4.5,1,4,0.816496580927726,4,0.816496580927726,1,"Rock",60,NA,"1960s, 1970s, 1980s, 1990s",25,25,"USA_Canada",75,"autobioLife, music",50,""
"3","60s_HIGH_03","60s","High","I'm A Man","The Spencer Davis Group",NA,"1967","no",NA,00:00:00,00:00:30,3,4.25,0.957427107756338,2,0.816496580927726,1.75,0.5,3.5,1,4,0.816496580927726,3.5,0.577350269189626,1,"Rock",66.6666666666667,NA,"1960s",50,50,"USA_Canada",100,"music",75,""
"4","60s_HIGH_04","60s","High","It's Only Make Believe","The Hollies",NA,"1964","yes","""-eh""",00:01:36,00:02:06,4,2.6,1.34164078649987,1.4,0.547722557505166,2.2,1.78885438199983,2.8,1.30384048104053,3,1.58113883008419,3,0.707106781186548,3,"Country, Rock",25,NA,"pre1960",40,20,"USA_Canada",60,"music",60,""
"5","60s_HIGH_05","60s","High","Someone I Know","Margo Guryan",NA,"1968","no",NA,00:01:10,00:01:40,5,3.4,0.894427190999916,3,1.58113883008419,2.8,0.836660026534076,3.8,0.836660026534076,4,0,3.4,1.14017542509914,1,"Ambient, Film, Classical",22.2222222222222,NA,"1970s",40,0,"Europe",60,"music",100,""
"6","60s_HIGH_06","60s","High","Summer in the City","The Lovin' Spoonful",NA,"1966","no",NA,00:01:59,00:02:29,6,4.6,0.894427190999916,4.6,0.894427190999916,4,1.22474487139159,4.2,1.09544511501033,4.2,0.836660026534076,4.4,0.547722557505166,1,"Rock, Pop",33.3333333333333,NA,"1960s, 1970s",40,40,"USA_Canada",80,"autobioLife",80,""
"7","60s_HIGH_07","60s","High","Time of the Season","The Zombies",NA,"1968","no",NA,00:01:21,00:01:51,7,4,1,2.6,2.19089023002066,2,1.22474487139159,4,1,4,0.707106781186548,4.4,0.547722557505166,1,"Jazz",28.5714285714286,NA,"1970s",60,20,"USA_Canada",100,"music",60,""
"8","60s_LOW_09","60s","Low","Rosemary","Peppermint Rainbow",NA,"1969","no",NA,00:00:11,00:00:41,9,2.6,1.34164078649987,1.6,1.34164078649987,3.4,1.14017542509914,3.8,0.836660026534076,3,0.707106781186548,3.2,0.836660026534076,2,"Ambient, Film, Classical",25,NA,"1980s",40,0,"Europe",60,"abstract, everyday, music",40,""
"9","60s_LOW_10","60s","Low","Rumpus","Floyd Cramer",NA,"1960","no",NA,00:00:00,00:00:30,10,2.66666666666667,0.577350269189626,1,0,2.66666666666667,0.577350269189626,3.33333333333333,0.577350269189626,3.33333333333333,0.577350269189626,4,0,2,"Film",66.6666666666667,NA,"1960s, 1970s, pre1960",33.3333333333333,33.3333333333333,"USA_Canada",100,"music",66.6666666666667,""
"10","60s_LOW_11","60s","Low","The Little Man From Mars","Perrey and Kingsley",NA,"1966","no",NA,00:00:00,00:00:30,11,2,1.22474487139159,1.6,0.547722557505166,3.4,0.894427190999916,2,1.22474487139159,3.2,0.447213595499958,3.2,0.836660026534076,3,"Electronic, Folk",28.5714285714286,NA,"1960s",40,40,"Europe, USA_Canada",40,"abstract, music, none",40,""
"11","60s_LOW_12","60s","Low","This Time the Dream's on Me","Anthony Newley",NA,"1963","no",NA,00:01:48,00:02:18,12,2.5,0.577350269189626,2,1.15470053837925,3,1.4142135623731,3.5,1,3.5,1,3,0.816496580927726,2,"Film",80,NA,"pre1960",50,25,"USA_Canada",50,"autobioMedia, fictional, music, none",25,""
"12","60s_LOW_13","60s","Low","Walk, Don't Run","The Ventures",NA,"1960","no",NA,00:00:00,00:00:30,13,3.75,0.957427107756338,3.25,1.25830573921179,3,0.816496580927726,3.75,0.957427107756338,4,0.816496580927726,3.75,0.5,1,"Rock",75,NA,"1960s",50,50,"USA_Canada",100,"music",75,""
"13","60s_LOW_14","60s","Low","Wheels (Cha Cha)","Joe Loss & His Orchestra",NA,"1968","no",NA,00:00:00,00:00:30,14,3.4,1.14017542509914,1.2,0.447213595499958,2.6,0.894427190999916,3.8,1.09544511501033,3.8,0.447213595499958,3.4,1.14017542509914,2,"Folk, Dance",33.3333333333333,NA,"2000s, pre1960",40,20,"USA_Canada",60,"autobioMedia, music",60,""
"14","60s_MED_15","60s","Medium","Amore sto dicendo a te - Toy","The Casuals",NA,"1968","yes","""ooo""",00:02:03,00:02:33,15,2.33333333333333,1.15470053837925,2,1.73205080756888,2.33333333333333,0.577350269189626,3.66666666666667,0.577350269189626,4,0,4,0,2,"Jazz",50,NA,"1960s",66.6666666666667,66.6666666666667,"USA_Canada",66.6666666666667,"autobioLife, autobioMedia, everyday, music, none, self",33.3333333333333,""
"15","60s_MED_16","60s","Medium","Blue Eyes Crying In the Rain","John D. Loudermilk",NA,"1968","no",NA,00:01:19,00:01:49,16,4,1,2.66666666666667,2.08166599946613,2,1.73205080756888,4,1,3.33333333333333,1.52752523165195,2.66666666666667,0.577350269189626,1,"Country, Film",33.3333333333333,NA,"1960s",66.6666666666667,66.6666666666667,"USA_Canada",66.6666666666667,"fictional, music",100,""
"16","60s_MED_17","60s","Medium","Cinnamon Girl","The Gentrys",NA,"1969","no",NA,00:01:44,00:02:14,17,4.25,0.957427107756338,2,1.15470053837925,2.25,1.5,3.75,1.5,4,1.15470053837925,4,0.816496580927726,1,"Rock",80,NA,"1960s",50,50,"USA_Canada",75,"music",75,""
"17","60s_MED_18","60s","Medium","Close Your Eyes","Vic Dana",NA,"1966","no",NA,00:01:16,00:01:46,18,3.2,1.30384048104053,2.2,1.30384048104053,2.4,1.14017542509914,3.6,1.14017542509914,3,1,2.2,0.836660026534076,3,"Jazz",50,NA,"1990s",60,0,"USA_Canada",80,"music",60,""
"18","60s_MED_19","60s","Medium","I'm Waiting For The Man","The Velvet Underground",NA,"1967","no",NA,00:01:55,00:02:25,19,3.33333333333333,1.52752523165195,1.33333333333333,0.577350269189626,1.66666666666667,0.577350269189626,3.33333333333333,1.52752523165195,4,1,4,0,2,"Rock",50,NA,"1960s, 1980s, 2000s",33.3333333333333,33.3333333333333,"USA_Canada",100,"music",66.6666666666667,""
"19","60s_MED_20","60s","Medium","Kyllikki","Georg Ots",NA,"1968","no",NA,00:01:50,00:02:20,20,3.5,1,1.5,0.577350269189626,2.5,0.577350269189626,3.5,1,3,0,2.5,1,3,"Folk",50,NA,"1980s",50,0,"Europe",75,"music",75,""
"20","60s_MED_21","60s","Medium","Through with You","The Lemon Pipers",NA,"1968","no",NA,00:01:14,00:01:44,21,3.25,0.957427107756338,1.5,0.577350269189626,3,1.63299316185545,3.75,1.25830573921179,3.75,1.25830573921179,4.75,0.5,2,"Rock",60,NA,"1970s, 1990s",50,0,"USA_Canada",50,"music",75,""
"21","80s_HIGH_15","80s","High","Maneater","Hall & Oates",NA,"1982","no",NA,00:00:00,00:00:30,15,4.66666666666667,0.577350269189626,4.66666666666667,0.577350269189626,3.33333333333333,0.577350269189626,4.66666666666667,0.577350269189626,4,1,3.66666666666667,0.577350269189626,1,"Pop",66.6666666666667,NA,"1980s",66.6666666666667,66.6666666666667,"Europe",66.6666666666667,"music",66.6666666666667,""
"22","80s_HIGH_16","80s","High","Sometimes","Erasure",NA,"1987","yes","""oh""",00:01:51,00:02:21,16,3.66666666666667,0.577350269189626,1,0,2.66666666666667,0.577350269189626,3.33333333333333,0.577350269189626,3.66666666666667,0.577350269189626,3.66666666666667,0.577350269189626,2,"Pop",60,NA,"1980s",100,100,"Europe",66.6666666666667,"fictional",100,""
"23","80s_HIGH_17","80s","High","Sweet Dreams (Are Made Of This)","Eurythmics",NA,"1983","no",NA,00:02:55,00:03:25,17,5,0,5,0,2.5,1,4.75,0.5,4.5,1,4.5,0.577350269189626,1,"Rock",60,NA,"1980s",100,100,"Europe, USA_Canada",50,"autobioLife, music",75,""
"24","80s_HIGH_18","80s","High","Take On Me","a-ha",NA,"1985","yes","""ba""",00:00:00,00:00:30,18,4.8,0.447213595499958,4.6,0.894427190999916,3.4,1.34164078649987,4.6,0.547722557505166,4.4,0.547722557505166,4.6,0.547722557505166,1,"Rock, Pop",37.5,NA,"1980s",60,60,"USA_Canada",80,"music",80,""
"25","80s_HIGH_19","80s","High","Total Eclipse of the Heart","Bonnie Tyler",NA,"1983","no",NA,00:02:10,00:02:40,19,4.33333333333333,1.15470053837925,4,1.73205080756888,2.66666666666667,1.52752523165195,4.66666666666667,0.577350269189626,4.33333333333333,0.577350269189626,4,0,1,"Pop",100,NA,"1980s",66.6666666666667,66.6666666666667,"USA_Canada",100,"music",100,""
"26","80s_HIGH_20","80s","High","Who Can It Be Now?","Men At Work",NA,"1981","yes","""yeah""",00:01:59,00:02:29,20,4.25,1.5,4,2,1.5,0.577350269189626,3.75,1.89296944860009,4.5,0.577350269189626,4,0,1,"Pop",66.6666666666667,NA,"1980s",75,75,"Australia, USA_Canada",50,"autobioLife",75,""
"27","80s_HIGH_21","80s","High","You're My Heart, You're My Soul","Modern Talking",NA,"1985","no",NA,00:00:00,00:00:30,21,4,0.816496580927726,1.5,0.577350269189626,3,1.15470053837925,4,1.4142135623731,4,0.816496580927726,4.25,1.5,2,"Dance",57.1428571428571,NA,"2000s",50,25,"USA_Canada",75,"music, none",50,""
"28","80s_LOW_01","80s","Low","Barrados No Baile","Eduardo Dussek",NA,"1983","yes","""wop bop ba da doo da dah""",00:00:00,00:00:30,1,2.75,1.70782512765993,2.5,1.73205080756888,3,0.816496580927726,2.75,1.25830573921179,4,0.816496580927726,4.25,0.5,2,"Funk",33.3333333333333,NA,"1970s, 1990s",50,0,"USA_Canada",50,"autobioMedia, music",75,""
"29","80s_LOW_02","80s","Low","Breaking Away","Jaki Graham",NA,"1986","no",NA,00:00:00,00:00:30,2,3,1.4142135623731,1.75,0.957427107756338,1.5,1,3,0.816496580927726,3,1.4142135623731,2.5,1.29099444873581,3,"Film, Jazz, RnB",33.3333333333333,NA,"1980s",50,50,"USA_Canada",75,"autobioLife, fictional, music, none",25,""
"30","80s_LOW_03","80s","Low","Changin' Light Of Love","Mixed Emotions",NA,"1987","yes","""oh""",00:02:17,00:02:47,3,2.75,0.5,1,0,2.25,0.5,2,0.816496580927726,2.5,1,2.75,0.957427107756338,3,"Pop, Jazz",40,NA,"1990s",75,25,"Europe, USA_Canada",50,"music",75,""
"31","80s_LOW_04","80s","Low","Eve lève-toi","Julie Pietri",NA,"1980","yes","""oh""",00:03:27,00:03:57,4,3.4,0.894427190999916,2.4,1.51657508881031,2.4,1.14017542509914,3.2,0.447213595499958,3.6,0.547722557505166,4.2,0.836660026534076,2,"Dance",30,NA,"1980s",40,40,"Europe, USA_Canada",40,"autobioMedia",80,""
"32","80s_LOW_05","80s","Low","Nosso Louco Amor","Gang 90 & Absurdetes",NA,"1983","no",NA,00:00:00,00:00:30,5,4.2,0.447213595499958,2.4,1.34164078649987,2.4,1.14017542509914,3.8,0.836660026534076,4.2,0.447213595499958,4.2,0.836660026534076,1,"Pop",50,NA,"1980s, 1990s",40,40,"USA_Canada",100,"autobioMedia",60,""
