"","CLIP_NAME","GENRE","FAMILIARITY","TRACK_TITLE","ARTIST","MEDIA_RELATION_or_PERFORMER","RELEASE_DATE","VOCALISATION","VOCALISATION_TYPE","CLIP_TIME_START","CLIP_TIME_END","group","style_familiarity_M","style_familiarity_SD","clip_familiarity_M","clip_familiarity_SD","contrast_M","contrast_SD","enjoyment_M","enjoyment_SD","valence_M","valence_SD","arousal_M","arousal_SD","cluster","rated_genre","rated_genre_perc","genre_match","rated_decade","rated_decade_perc","decade_match","rated_location","rated_location_perc","thought_type","thought_type_perc","freq_context_words"
"1","60s_HIGH_01","60s","High","As We Go Along","The Monkees",NA,"1968","no",NA,00:00:00,00:00:30,1,3.2,1.30384048104053,1.8,1.30384048104053,2.8,0.836660026534076,3.6,1.14017542509914,3.6,0.547722557505166,2.4,0.547722557505166,2,"Folk",42.8571428571429,NA,"1960s",40,40,"USA_Canada",100,"music",80,""
"2","60s_HIGH_02","60s","High","Crimson and Clover","Tommy James and the Shondells",NA,"1968","yes","""-ah""",00:00:50,00:01:20,2,2.8,1.30384048104053,2.2,1.30384048104053,2.2,0.447213595499958,4,0.707106781186548,3.8,0.836660026534076,3.4,0.547722557505166,2,"Rock",37.5,NA,"1960s",40,40,"USA_Canada",100,"music",40,""
"3","60s_HIGH_03","60s","High","I'm A Man","The Spencer Davis Group",NA,"1967","no",NA,00:00:00,00:00:30,3,2.66666666666667,0.577350269189626,1.66666666666667,0.577350269189626,2.33333333333333,0.577350269189626,3,1,3.33333333333333,0.577350269189626,3,1,3,"Pop, Rock, Film",33.3333333333333,NA,"1960s, 1970s, 1980s",33.3333333333333,33.3333333333333,"Europe",66.6666666666667,"autobioMedia, fictional, none",33.3333333333333,""
"4","60s_HIGH_04","60s","High","It's Only Make Believe","The Hollies",NA,"1964","yes","""-eh""",00:01:36,00:02:06,4,2.5,0.577350269189626,1,0,1.25,0.5,3,1.63299316185545,3.5,1,2.25,0.5,3,"Country",33.3333333333333,NA,"1960s",100,100,"USA_Canada",100,"everyday",50,""
"5","60s_HIGH_05","60s","High","Someone I Know","Margo Guryan",NA,"1968","no",NA,00:01:10,00:01:40,5,3.2,1.48323969741913,2,1.73205080756888,1.8,1.30384048104053,3.2,0.836660026534076,3.8,1.09544511501033,3.4,1.14017542509914,2,"Folk, Pop, Jazz, Film, Classical, VG",16.6666666666667,NA,"1980s",40,20,"Asia, USA_Canada",40,"everyday, music",40,""
"6","60s_HIGH_06","60s","High","Summer in the City","The Lovin' Spoonful",NA,"1966","no",NA,00:01:59,00:02:29,6,3.5,1.29099444873581,2.5,1.29099444873581,4.25,0.957427107756338,4.75,0.5,4.5,0.577350269189626,4.5,0.577350269189626,1,"Jazz",40,NA,"1980s",50,25,"USA_Canada",75,"music",100,""
"7","60s_HIGH_07","60s","High","Time of the Season","The Zombies",NA,"1968","no",NA,00:01:21,00:01:51,7,2.4,1.14017542509914,1.4,0.894427190999916,2.6,1.51657508881031,3.2,1.09544511501033,3.6,0.894427190999916,4,0.707106781186548,2,"Jazz",33.3333333333333,NA,"2000s",40,0,"USA_Canada",60,"autobioLife, music",40,""
"8","60s_LOW_09","60s","Low","Rosemary","Peppermint Rainbow",NA,"1969","no",NA,00:00:11,00:00:41,9,2.4,0.894427190999916,1,0,3.4,0.894427190999916,3,1.22474487139159,3.2,0.836660026534076,2.4,1.14017542509914,3,"Ambient",42.8571428571429,NA,"2000s, 2010s",40,0,"Europe",80,"music",60,""
"9","60s_LOW_10","60s","Low","Rumpus","Floyd Cramer",NA,"1960","no",NA,00:00:00,00:00:30,10,2.75,0.957427107756338,1.5,0.577350269189626,3,1.4142135623731,3.75,1.5,4.5,0.577350269189626,4.25,0.5,2,"Pop",28.5714285714286,NA,"pre1960",75,0,"Europe, USA_Canada",50,"abstract, fictional, music",50,""
"10","60s_LOW_11","60s","Low","The Little Man From Mars","Perrey and Kingsley",NA,"1966","no",NA,00:00:00,00:00:30,11,2,1.73205080756888,1.8,1.30384048104053,2.4,0.894427190999916,2.2,1.30384048104053,3.2,1.48323969741913,3.2,1.09544511501033,3,"Electronic",50,NA,"1970s, 1980s, 2000s, 2010s, pre1960",20,0,"USA_Canada",60,"autobioMedia, music",40,""
